inst;succ A;succ B;of;steps A;steps B;awg fined A;awg fined B;mu A;sig^2 A;mu B;sig^2 B;xing;winner
gen-3277;920;993;1000;548.925;291.309;1628.92;385.809;5.81577;1.35293;5.16179;27.9297;2;B
gen-3278;735;965;1000;878.717;444.301;4456.22;916.801;6.50949;0.735113;5.69254;33.3556;14;B
gen-3279;864;983;1000;723.958;410.546;2559.96;640.046;6.33585;0.582449;5.73005;33.4628;20;B
gen-3280;439;536;1000;1140.77;1018.93;8714.27;7282.93;6.82101;0.700102;6.60852;44.7301;10;B
gen-3281;467;826;1000;1127.09;758.265;8322.58;3107.26;6.85619;0.493247;6.35922;41.1386;1;B
gen-3282;999;1000;1000;226.398;121.467;239.898;121.467;5.12982;0.588093;4.59611;21.5128;976;B
gen-3283;884;988;1000;636.182;289.78;2202.18;451.78;6.01914;1.18245;5.11194;27.465;6;B
gen-3284;928;993;1000;528.705;287.804;1500.7;382.304;5.88316;0.898496;5.29051;28.7782;2;B
gen-3285;810;987;1000;778.482;398.141;3343.48;573.641;6.38272;0.679707;5.70986;33.2303;2;B
gen-3286;1000;1000;1000;86.543;43.121;86.543;43.121;4.07182;0.857554;3.48634;12.7444;998;A
gen-3287;458;879;1000;1139.23;661.525;8456.23;2295.03;6.86343;0.522092;6.17307;38.9457;1;B
gen-3288;606;833;1000;1007.28;697.91;6326.28;2952.41;6.70631;0.574738;6.23382;39.6431;1;B
gen-3289;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3290;991;1000;1000;369.916;173.22;491.416;173.22;5.57046;0.747571;4.89168;24.4719;716;B
gen-3291;577;822;1000;1018.54;713.153;6729.04;3116.15;6.69437;0.657535;6.1646;39.1205;11;B
gen-3292;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3293;278;504;1000;1282;1080.49;11029;7776.49;7.04809;0.335042;6.77992;46.5994;2;B
gen-3294;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3295;978;999;1000;372.125;178.594;669.125;192.094;5.45681;1.05011;4.81617;24.0032;941;B
gen-3296;537;660;1000;1016.65;860.766;7267.15;5450.77;6.66575;0.751379;6.40108;41.9788;39;B
gen-3297;1000;1000;1000;39.289;27.907;39.289;27.907;3.29809;0.760053;2.98844;9.5831;41;B
gen-3298;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3299;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3300;951;998;1000;463.108;230.203;1124.61;257.203;5.6922;1.10476;5.03477;26.2893;5;B
gen-3301;1000;1000;1000;137.25;95.176;137.25;95.176;4.51977;0.862029;4.13697;17.9468;957;A
gen-3302;841;956;1000;726.263;449.853;2872.76;1043.85;6.29797;0.701904;5.75244;33.8646;101;B
gen-3303;994;1000;1000;298.873;167.544;379.873;167.544;5.27491;0.954469;4.73907;23.2875;860;B
gen-3304;809;931;1000;723.555;463.816;3302.05;1395.32;6.24543;0.845855;5.69784;33.4544;51;B
gen-3305;985;997;1000;408.899;232.244;611.399;272.744;5.70004;0.671775;5.13587;26.9965;959;B
gen-3306;864;981;1000;720.101;421.372;2556.1;677.872;6.2748;0.786003;5.66441;33.0285;326;B
gen-3307;418;679;1000;1190.06;896.688;9047.06;5230.19;6.95966;0.343273;6.54388;43.5167;13;B
gen-3308;896;998;1000;602.887;272.269;2006.89;299.269;6.05246;0.83323;5.26846;28.4764;2;B
gen-3309;499;811;1000;1080.97;729.267;7844.47;3280.77;6.74707;0.761039;6.20458;39.5926;1;B
gen-3310;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3311;977;999;1000;418.38;217.957;728.88;231.457;5.69401;0.750511;5.12463;26.8199;802;B
gen-3312;1000;1000;1000;74.181;38.212;74.181;38.212;3.94509;0.776878;3.35225;11.8359;994;B
gen-3313;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3314;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3315;749;825;1000;770.848;605.639;4159.35;2968.14;6.25905;1.0102;5.87517;35.8308;1;B
gen-3316;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3317;796;860;1000;687.59;574.759;3441.59;2464.76;5.99409;1.53726;5.69199;34.3164;2;B
gen-3318;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3319;665;950;1000;882.016;452.084;5404.52;1127.08;6.43175;1.01182;5.59851;32.6212;30;B
gen-3320;999;1000;1000;223.826;155.153;237.326;155.153;4.96433;1.03943;4.60436;22.2807;996;B
gen-3321;786;919;1000;720.98;519.098;3609.98;1612.6;6.11597;1.27364;5.74877;34.3236;1;B
gen-3322;999;1000;1000;255.459;152.478;268.959;152.478;5.20322;0.711046;4.74153;23.0683;996;B
gen-3323;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3324;831;975;1000;776.927;442.064;3058.43;779.564;6.39501;0.65764;5.78173;34.1534;68;B
gen-3325;988;998;1000;312.846;209.12;474.846;236.12;5.21101;1.27163;4.81007;24.4302;935;B
gen-3326;420;742;1000;1174.18;799.886;9004.18;4282.89;6.89967;0.529849;6.29209;40.7277;2;B
gen-3327;1000;1000;1000;146.951;90.248;146.951;90.248;4.49865;1.15368;4.02528;17.2302;997;B
gen-3328;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-3329;465;763;1000;1109.79;740.812;8332.29;3940.31;6.77435;0.757639;6.17696;39.3821;25;B
gen-3330;429;771;1000;1216.58;842.935;8925.08;3934.43;6.99963;0.297222;6.49793;42.8584;1;B
gen-3331;892;994;1000;588.738;305.59;2046.74;386.59;5.94332;1.0522;5.34829;29.4032;1;B
gen-3332;825;978;1000;763.182;451.97;3125.68;748.97;6.33567;0.791718;5.74665;33.9285;3;B
gen-3333;554;920;1000;1072.67;599.747;7093.67;1679.75;6.79578;0.507447;6.09217;37.8437;1;B
gen-3334;952;1000;1000;505.46;238.781;1153.46;238.781;5.90721;0.727738;5.20364;27.674;9;B
gen-3335;905;972;1000;617.514;379.938;1900.01;757.938;6.03872;0.998947;5.4317;30.6718;554;B
gen-3336;933;987;1000;550.006;325.197;1454.51;500.697;5.89181;1.08038;5.3075;29.3629;772;B
