inst;succ A;succ B;of;steps A;steps B;awg fined A;awg fined B;mu A;sig^2 A;mu B;sig^2 B;xing;winner
gen-1;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2;246;531;1000;1319.77;1058.78;11498.8;7390.28;7.0889;0.314974;6.75734;46.3056;2;B
gen-3;638;848;1000;965.445;635.789;5852.44;2687.79;6.65181;0.587466;6.10557;38.1156;49;B
gen-4;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-5;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-6;1000;1000;1000;147.034;68.175;147.034;68.175;4.63391;0.771789;3.94588;16.1432;999;A
gen-7;974;1000;1000;391.31;211.381;742.31;211.381;5.51039;1.02606;5.0103;25.8468;794;B
gen-8;918;979;1000;514.93;330.5;1621.93;614;5.80271;1.04123;5.30415;29.2008;1;B
gen-9;788;891;1000;754.028;587.13;3616.03;2058.63;6.21895;1.12849;5.89168;35.994;136;B
gen-10;274;484;1000;1297.07;1105.73;11098.1;8071.73;7.05582;0.370416;6.78683;46.7974;1;B
gen-11;991;994;1000;285.234;189.629;406.734;270.629;5.22306;0.929937;4.7697;23.6746;992;B
gen-12;987;998;1000;355.184;209.418;530.684;236.418;5.48884;0.872109;4.92677;25.1706;805;B
gen-13;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-14;1000;1000;1000;49.983;32.271;49.983;32.271;3.56232;0.726178;3.18299;10.7423;741;B
gen-15;1000;1000;1000;178.751;102.512;178.751;102.512;4.72257;1.0718;4.07803;17.7672;999;A
gen-16;983;1000;1000;349.904;163.562;579.404;163.562;5.50477;0.753853;4.8273;23.8613;833;B
gen-17;1000;1000;1000;105.394;58.432;105.394;58.432;3.96945;1.54823;3.35313;12.6631;42;A
gen-18;989;1000;1000;399.08;231.236;547.58;231.236;5.6747;0.706252;5.15577;27.1884;985;B
gen-19;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-20;983;999;1000;408.558;222.693;638.058;236.193;5.67658;0.752089;5.14363;27.0203;879;B
gen-21;625;905;1000;986.752;609.476;6049.25;1891.98;6.66604;0.631989;6.05765;37.5859;4;B
gen-22;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-23;993;1000;1000;320.468;204.79;414.968;204.79;5.30523;1.10708;4.90953;25.0827;985;B
gen-24;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-25;690;952;1000;911.541;523.291;5096.54;1171.29;6.56436;0.664304;5.93674;35.9888;3;B
gen-26;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-27;655;952;1000;926.945;513.954;5584.44;1161.95;6.53181;0.865399;5.85701;35.2711;1;B
gen-28;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-29;367;629;1000;1213.79;954.661;9759.29;5963.16;6.94401;0.498137;6.5775;44.1099;1;B
gen-30;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-31;506;815;1000;1108.03;751.681;7777.03;3249.18;6.83705;0.49755;6.31593;40.7006;1;B
gen-32;963;985;1000;406.144;264.352;905.644;466.852;5.49884;1.17001;5.02147;26.3736;161;B
gen-33;999;1000;1000;299.112;151.99;312.612;151.99;5.40799;0.601615;4.81742;23.6285;982;B
gen-34;1000;1000;1000;153.678;86.922;153.678;86.922;4.62214;0.895348;4.12716;17.7342;962;B
gen-35;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-36;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-37;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-38;988;1000;1000;352.14;164.996;514.14;164.996;5.43181;1.01981;4.66756;22.7886;948;B
gen-39;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-40;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-41;771;951;1000;789.068;424.678;3880.57;1086.18;6.3641;0.801119;5.59069;32.2918;161;B
gen-42;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-43;1000;1000;1000;82.448;51.838;82.448;51.838;4.0387;0.795256;3.61995;13.7974;985;A
gen-44;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-45;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-46;985;993;1000;328.172;242.123;530.672;336.623;5.17746;1.55083;4.81394;24.84;830;B
gen-47;1000;1000;1000;85.842;53.76;85.842;53.76;4.08506;0.8113;3.58323;13.6993;586;B
gen-48;853;987;1000;663.291;333.376;2647.79;508.876;6.11469;1.01691;5.38191;29.9631;1;B
gen-49;178;287;1000;1382.49;1283.2;12479.5;10908.7;7.18337;0.142429;7.05099;50.0906;1;B
gen-50;979;997;1000;429.317;252.695;712.817;293.195;5.72984;0.738884;5.23691;28.0445;51;B
gen-51;990;1000;1000;305.327;171.299;440.327;171.299;5.26998;1.03976;4.66122;22.7688;802;B
gen-52;987;998;1000;352.258;159.684;527.758;186.684;5.34092;1.30054;4.59029;22.1409;274;B
gen-53;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-54;997;997;1000;283.776;164.796;324.276;205.296;5.28805;0.80932;4.76223;23.3584;164;A
gen-55;1000;1000;1000;72.293;41.873;72.293;41.873;3.86514;0.795219;3.42557;12.3031;997;B
gen-56;996;1000;1000;244.711;133.719;298.711;133.719;5.13602;0.75205;4.57838;21.5747;963;B
gen-57;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-58;999;1000;1000;189.378;120.86;202.878;120.86;4.7233;1.21637;4.3264;19.7966;1000;B
gen-59;592;809;1000;951.581;691.097;6459.58;3269.6;6.57409;0.794165;6.15397;38.8354;14;B
gen-60;893;997;1000;640.687;293.986;2085.19;334.486;6.17719;0.657865;5.42321;29.9719;1;B
gen-61;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-62;598;757;1000;961.116;728.453;6388.12;4008.95;6.48362;1.27496;5.94991;37.4701;9;B
gen-63;916;994;1000;635.389;331.547;1769.39;412.547;6.17011;0.675393;5.52079;31.1032;229;B
gen-64;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-65;1000;1000;1000;164.341;94.381;164.341;94.381;4.80274;0.603808;4.34909;19.3281;998;A
gen-66;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-67;893;953;1000;618.81;419.85;2063.31;1054.35;6.1191;0.72554;5.66784;32.9418;403;B
gen-68;980;996;1000;410.901;250.667;680.901;304.667;5.63663;0.860037;5.15824;27.3609;883;B
gen-69;908;981;1000;607.745;352.76;1849.74;609.26;6.01125;1.04591;5.39997;30.2143;4;B
gen-70;997;1000;1000;289.372;152.662;329.872;152.662;5.23616;0.948427;4.64085;22.37;975;B
gen-71;889;990;1000;588.287;318.384;2086.79;453.384;5.85945;1.39595;5.25582;28.8705;7;B
gen-72;869;951;1000;620.476;438.339;2388.98;1099.84;5.90536;1.48182;5.42567;31.1899;463;B
gen-73;981;993;1000;371.976;268.935;628.476;363.435;5.52171;0.927684;5.13233;27.3575;49;B
gen-74;924;986;1000;563.276;345.568;1589.28;534.568;5.98494;0.83579;5.48575;30.8948;148;B
gen-75;869;949;1000;664.05;432.473;2432.55;1120.97;6.15733;0.847736;5.62205;32.6269;214;B
gen-76;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-77;949;996;1000;510.266;274.981;1198.77;328.981;5.83366;1.01687;5.20183;28.0314;158;B
gen-78;160;268;1000;1383.71;1285.01;12723.7;11167;7.17124;0.197197;7.04827;50.0641;3;B
gen-79;984;999;1000;404.172;199.495;620.172;212.995;5.66302;0.732707;5.01734;25.7385;508;B
gen-80;729;956;1000;851.166;417.809;4509.67;1011.81;6.41064;0.972782;5.50737;31.6133;22;B
gen-81;965;1000;1000;434.427;164.626;906.927;164.626;5.58162;1.21242;4.68885;22.9438;78;B
gen-82;999;1000;1000;261.617;141.645;275.117;141.645;5.21596;0.796022;4.63738;22.1863;981;B
gen-83;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-84;997;1000;1000;248.204;127.688;288.704;127.688;5.06864;1.01033;4.3775;20.1435;976;B
gen-85;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-86;917;973;1000;509.343;364.633;1629.84;729.133;5.62177;1.65632;5.28156;29.5319;368;B
gen-87;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-88;379;654;1000;1204.5;917.197;9588;5588.2;6.94861;0.437111;6.52971;43.4847;4;B
gen-89;914;999;1000;631.959;303.138;1792.96;316.638;6.15072;0.72685;5.40044;29.8889;6;B
gen-90;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-91;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-92;778;953;1000;807.185;519.495;3804.18;1153.99;6.43523;0.645637;5.94402;36.0536;39;B
gen-93;752;998;1000;792.825;302.084;4140.82;329.084;6.30103;1.07881;5.2794;28.9378;1;B
gen-94;874;970;1000;608.478;406.847;2309.48;811.847;5.96683;1.09898;5.56606;31.9824;137;B
gen-95;970;998;1000;438.269;243.282;843.269;270.282;5.67368;0.943299;5.11826;26.9927;743;B
gen-96;1000;1000;1000;129.471;54.544;129.471;54.544;4.36439;1.10851;3.62249;13.8771;309;A
gen-97;212;357;1000;1333.98;1199.49;11972;9879.99;7.10245;0.303345;6.92312;48.4973;6;B
gen-98;360;606;1000;1205.64;948.969;9845.64;6267.97;6.95273;0.420533;6.58431;44.1246;4;B
gen-99;1000;1000;1000;65.337;42.217;65.337;42.217;3.90417;0.559066;3.524;12.8585;972;B
gen-100;1000;1000;1000;99.997;57.042;99.997;57.042;4.21326;0.855527;3.71606;14.4957;996;A
gen-101;1000;1000;1000;161.495;84.241;161.495;84.241;4.65028;0.957779;4.0477;17.1892;999;A
gen-102;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-103;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-104;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-105;979;1000;1000;387.744;195.447;671.244;195.447;5.6263;0.744166;4.97665;25.403;552;B
gen-106;929;996;1000;507.593;258.482;1466.09;312.482;5.68738;1.4524;5.06174;26.8842;64;B
gen-107;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-108;934;1000;1000;491.231;212.86;1382.23;212.86;5.67211;1.4407;4.86844;24.9214;181;B
gen-109;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-110;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-111;1000;1000;1000;126.777;63.94;126.777;63.94;4.46107;0.875313;3.85117;15.5021;995;B
gen-112;901;996;1000;684.235;351.395;2020.73;405.395;6.25091;0.664042;5.62694;32.1765;15;B
gen-113;241;366;1000;1295.1;1190.45;11541.6;9749.45;7.00425;0.633637;6.809;47.4851;3;B
gen-114;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-115;998;1000;1000;210.989;96.403;237.989;96.403;4.64162;1.77988;4.00397;17.3631;980;B
gen-116;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-117;1000;1000;1000;133.53;99.691;133.53;99.691;4.29961;1.35703;3.89388;16.7411;999;B
gen-118;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-119;1000;1000;1000;38.935;22.782;38.935;22.782;3.38154;0.578486;2.92956;8.99504;998;A
gen-120;943;999;1000;524.202;258.846;1293.7;272.346;5.90988;0.841145;5.21952;27.9924;412;B
gen-121;998;1000;1000;203.763;127.63;230.763;127.63;4.96811;0.719998;4.54271;21.2657;990;B
gen-122;960;998;1000;450.347;270.664;990.347;297.664;5.73497;0.850745;5.2562;28.3607;545;B
gen-123;940;997;1000;529.499;272.098;1339.5;312.598;5.85107;1.05042;5.20469;27.9974;216;B
gen-124;896;996;1000;635.016;295.519;2039.02;349.519;6.07807;0.958518;5.31194;29.0755;74;B
gen-125;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-126;1000;1000;1000;65.304;42.448;65.304;42.448;3.67147;1.03373;3.21886;11.4155;998;B
gen-127;999;1000;1000;224.894;121.101;238.394;121.101;5.00941;0.889324;4.43997;20.474;1000;B
gen-128;973;996;1000;461.127;268.917;825.627;322.917;5.80332;0.777922;5.26561;28.4393;425;B
gen-129;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-130;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-131;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-132;155;308;1000;1380.56;1250.09;12788.1;10592.1;7.17325;0.174784;6.99774;49.4272;1;B
gen-133;919;995;1000;568.276;312.773;1661.78;380.273;5.97428;0.882473;5.40774;29.9835;213;B
gen-134;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-135;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-136;950;973;1000;460.879;336.296;1135.88;700.796;5.74019;0.889784;5.33573;29.5001;874;B
gen-137;996;1000;1000;257.152;122.109;311.152;122.109;4.97661;1.44854;4.26038;19.4089;986;B
gen-138;991;999;1000;286.182;176.074;407.682;189.574;5.25917;0.86724;4.82355;23.9868;958;B
gen-139;910;993;1000;613.344;316.753;1828.34;411.253;6.10427;0.760382;5.47621;30.5958;9;B
gen-140;983;981;1000;329.035;241.503;558.535;498.003;5.30406;1.11101;4.89105;25.1226;999;A
gen-141;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-142;138;263;1000;1372;1284.78;13009;11234.3;7.14257;0.275987;7.02629;49.859;1;B
gen-143;887;992;1000;586.927;290.347;2112.43;398.347;5.87207;1.32083;5.24686;28.5078;11;B
gen-144;504;703;1000;1082.09;855.905;7778.09;4865.4;6.76592;0.666454;6.41843;42.1731;1;B
gen-145;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-146;238;399;1000;1317.75;1163.9;11604.7;9277.4;7.0888;0.304703;6.86532;47.7943;1;B
gen-147;1000;1000;1000;75.537;40.621;75.537;40.621;3.88032;0.9516;3.36435;12.0148;998;B
gen-148;901;989;1000;622.174;336.414;1958.67;484.914;6.12136;0.731638;5.43234;30.3462;3;B
gen-149;935;998;1000;578.498;305.707;1456;332.707;6.03568;0.775483;5.43363;30.1771;125;B
gen-150;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-151;773;953;1000;787.218;481.614;3851.72;1116.11;6.2663;1.17064;5.70897;33.8115;44;B
gen-152;996;1000;1000;261.325;135.075;315.325;135.075;5.14799;0.944736;4.54522;21.4238;997;B
gen-153;999;1000;1000;234.156;126.853;247.656;126.853;4.98003;1.1221;4.4489;20.6897;1000;B
gen-154;1000;1000;1000;136.743;86.188;136.743;86.188;4.44823;0.995198;3.99799;16.8977;997;A
gen-155;1000;1000;1000;170.991;109.225;170.991;109.225;4.67515;0.976009;4.21123;18.6742;999;A
gen-156;1000;1000;1000;91.199;55.297;91.199;55.297;4.18178;0.678661;3.71665;14.3686;991;B
gen-157;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-158;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-159;400;706;1000;1190.7;941.4;9290.7;4910.4;6.94223;0.407802;6.64791;44.7557;1;B
gen-160;1000;1000;1000;159.576;93.142;159.576;93.142;4.65174;0.890761;4.17281;18.1366;995;B
gen-161;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-162;999;1000;1000;222.218;118.685;235.718;118.685;5.01728;0.853606;4.44174;20.3928;1000;B
gen-163;1000;1000;1000;190.512;110.686;190.512;110.686;4.81824;0.919746;4.28281;19.1982;894;B
gen-164;901;994;1000;601.959;302.533;1938.46;383.533;6.00779;0.98664;5.2931;28.9911;109;B
gen-165;417;694;1000;1195.33;876.372;9065.83;5007.37;6.96381;0.343085;6.51319;43.1285;1;B
gen-166;992;998;1000;311.618;204.068;419.618;231.068;5.25509;1.15324;4.85979;24.6632;954;B
gen-167;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-168;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-169;1000;1000;1000;95.949;62.526;95.949;62.526;4.14717;0.900845;3.7474;14.9038;956;A
gen-170;986;998;1000;369.949;211.202;558.949;238.202;5.45789;1.1076;4.91288;25.1726;947;B
gen-171;1000;1000;1000;18.797;13.185;18.797;13.185;2.74276;0.378333;2.43879;6.23834;929;B
gen-172;1000;1000;1000;150.409;105.853;150.409;105.853;4.59535;0.925721;4.18726;18.5103;998;B
gen-173;1000;1000;1000;108.785;70.331;108.785;70.331;4.39663;0.586693;4.01832;16.6277;908;A
gen-174;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-175;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-176;348;552;1000;1217.3;1006.55;10019.3;7054.55;6.96013;0.437141;6.66517;45.1565;1;B
gen-177;394;620;1000;1177.64;945.04;9358.64;6075.04;6.89045;0.566947;6.55899;43.8832;1;B
gen-178;1000;1000;1000;48.01;29.829;48.01;29.829;3.5809;0.62229;3.10837;10.2431;893;B
gen-179;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-180;327;733;1000;1257.12;832.29;10342.6;4436.79;7.011;0.403962;6.40628;41.9442;1;B
gen-181;1000;1000;1000;100.38;78.304;100.38;78.304;4.1795;0.937858;3.87251;16.0028;996;B
gen-182;604;891;1000;1021.58;675.726;6367.58;2147.23;6.72088;0.584106;6.20998;39.3467;2;B
gen-183;661;872;1000;981.672;656.248;5558.17;2384.25;6.69094;0.530534;6.15318;38.6879;1;B
gen-184;997;1000;1000;311.629;169.128;352.129;169.128;5.36941;0.860852;4.76992;23.555;854;B
gen-185;848;927;1000;636.15;444.202;2688.15;1429.7;6.0654;0.930613;5.62967;32.7178;355;B
gen-186;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-187;330;609;1000;1240.55;956.41;10285.6;6234.91;6.99539;0.38126;6.58884;44.2081;2;B
gen-188;1000;1000;1000;98.226;75.735;98.226;75.735;4.00464;1.18042;3.67729;14.8171;999;A
gen-189;995;992;1000;274.907;257.692;342.407;365.692;4.97933;1.55647;4.82752;25.0768;612;A
gen-190;884;917;1000;592.904;523.625;2158.9;1644.12;5.81996;1.58602;5.54698;32.894;730;B
gen-191;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-192;582;777;1000;954.1;666.206;6597.1;3676.71;6.47681;1.22228;5.82086;35.8709;14;B
gen-193;688;921;1000;927.472;495.589;5139.47;1562.09;6.60558;0.596567;5.84265;34.9684;10;B
gen-194;702;958;1000;940.977;514.725;4963.98;1081.72;6.64805;0.508943;5.96225;36.1965;1;B
gen-195;1000;1000;1000;48.571;27.877;48.571;27.877;3.52176;0.746377;3.04542;9.86081;996;A
gen-196;580;718;1000;1007.58;772.732;6677.57;4579.73;6.68014;0.65815;6.23739;40.0212;13;B
gen-197;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-198;845;981;1000;688.895;385.754;2781.39;642.254;6.17693;0.896723;5.54728;31.678;75;B
gen-199;1000;1000;1000;62.891;30.077;62.891;30.077;3.79936;0.737037;3.17422;10.5542;999;A
gen-200;746;974;1000;867.856;460.28;4296.86;811.28;6.52337;0.627526;5.82287;34.6107;1;B
gen-201;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-202;996;1000;1000;273.441;147.515;327.441;147.515;5.19432;0.898168;4.61914;22.1146;992;B
gen-203;972;981;1000;403.743;310.791;781.743;567.291;5.54454;1.00841;5.20135;28.1749;959;B
gen-204;826;953;1000;719.064;452.643;3068.06;1087.14;6.27386;0.735045;5.72842;33.6902;169;B
gen-205;892;989;1000;564.759;310.724;2022.76;459.224;5.90692;1.02661;5.37488;29.6769;46;B
gen-206;352;677;1000;1214.8;900.96;9962.8;5261.46;6.94211;0.512109;6.50674;43.2116;1;B
gen-207;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-208;968;999;1000;446.52;229.309;878.52;242.809;5.73902;0.803873;5.16122;27.2123;477;B
gen-209;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-210;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-211;362;627;1000;1239.71;988.208;9852.71;6023.71;6.99054;0.42313;6.68186;45.2739;1;B
gen-212;1000;1000;1000;96.053;55.821;96.053;55.821;4.21836;0.78312;3.72275;14.5333;999;A
gen-213;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-214;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-215;743;942;1000;857.548;499.867;4327.05;1282.87;6.46832;0.763081;5.83395;34.9443;30;B
gen-216;765;899;1000;780.328;516.676;3952.83;1880.18;6.34244;0.810623;5.8373;34.9985;1;B
gen-217;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-218;1000;1000;1000;87.247;53.396;87.247;53.396;4.05339;0.918121;3.59965;13.73;991;B
gen-219;397;690;1000;1199.88;944.402;9340.38;5129.4;6.95354;0.408449;6.63242;44.6268;1;B
gen-220;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-221;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-222;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-223;1000;1000;1000;176.197;105.493;176.197;105.493;4.84166;0.736092;4.36032;19.6441;993;B
gen-224;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-225;478;651;1000;1122.53;923.665;8169.53;5635.16;6.85698;0.472502;6.5543;43.7396;4;B
gen-226;746;951;1000;887.245;542.244;4316.24;1203.74;6.5578;0.598676;6.00766;36.7755;8;B
gen-227;999;1000;1000;165.997;86.692;179.497;86.692;4.70524;0.864584;4.07533;17.4086;999;B
gen-228;1000;1000;1000;50.946;31.14;50.946;31.14;3.54781;0.758337;3.11908;10.3333;989;B
gen-229;698;952;1000;932.9;555.167;5009.9;1203.17;6.5973;0.665658;6.00086;36.7983;7;B
gen-230;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-231;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-232;990;1000;1000;399.192;202.473;534.192;202.473;5.67906;0.697624;5.07075;26.2482;843;B
gen-233;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-234;667;924;1000;971.558;557.21;5467.06;1583.21;6.67432;0.542447;6.03234;37.0673;7;B
gen-235;735;889;1000;815.403;567.058;4392.9;2065.56;6.37276;0.86491;5.9412;36.2448;91;B
gen-236;489;803;1000;1129.79;744.552;8028.29;3404.05;6.86699;0.482532;6.29693;40.4812;3;B
gen-237;511;809;1000;1135.67;815.883;7737.17;3394.38;6.89843;0.382403;6.46396;42.4189;2;B
gen-238;861;998;1000;630.038;243.625;2506.54;270.625;5.9866;1.22117;5.0472;26.4543;30;B
gen-239;427;698;1000;1178.26;885.342;8913.76;4962.34;6.92471;0.433922;6.5103;43.1533;1;B
gen-240;968;998;1000;474.403;249.714;906.403;276.714;5.75244;0.981178;5.17385;27.5165;244;B
gen-241;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-242;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-243;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-244;459;726;1000;1146.21;838.207;8449.71;4537.21;6.8904;0.438802;6.44322;42.2892;1;B
gen-245;788;958;1000;775.377;498.526;3637.38;1065.53;6.34149;0.808048;5.82807;34.9381;8;B
gen-246;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-247;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-248;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-249;999;1000;1000;173.974;92.482;187.474;92.482;4.6601;1.12396;4.08946;17.6803;995;B
gen-250;999;1000;1000;198.432;114.219;211.932;114.219;4.87806;0.948712;4.3074;19.5002;964;B
gen-251;1000;1000;1000;49.693;30.725;49.693;30.725;3.61947;0.601368;3.16807;10.5764;898;A
gen-252;812;911;1000;727.016;551.67;3265.02;1753.17;6.19903;1.07098;5.81887;35.1918;1;B
gen-253;991;1000;1000;333.381;178.648;454.881;178.648;5.3489;1.04746;4.74333;23.4322;978;B
gen-254;694;865;1000;879.453;653.185;5010.45;2475.68;6.40528;1.14657;5.94926;36.9937;1;B
gen-255;375;792;1000;1235.03;836.637;9672.53;3644.64;7.00336;0.344649;6.49107;42.7775;2;B
gen-256;1000;1000;1000;168.676;104.004;168.676;104.004;4.73864;0.894603;4.23912;18.8903;996;A
gen-257;914;993;1000;584.353;316.591;1745.35;411.091;5.99881;0.923024;5.3698;29.7092;178;B
gen-258;866;971;1000;633.012;348.228;2442.01;739.728;6.02726;1.06825;5.3581;29.787;1;B
gen-259;835;959;1000;720.41;462.711;2947.91;1016.21;6.26315;0.803445;5.74612;33.9638;49;B
gen-260;995;1000;1000;275.054;148.429;342.554;148.429;5.12759;1.12067;4.54221;21.6243;886;B
gen-261;964;1000;1000;493.535;217.385;979.535;217.385;5.88209;0.738099;5.11341;26.7099;1;B
gen-262;1000;1000;1000;185.766;104.727;185.766;104.727;4.84163;0.829698;4.35807;19.6134;999;B
gen-263;480;764;1000;1149.41;794.498;8169.41;3980.5;6.89423;0.438709;6.38334;41.539;6;B
gen-264;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
